,Job Role,Company,Exp,CTC,Location
0,Analyst- Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
1,Senior Analyst-Data Science,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
2,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
3,Technology Analyst: Data Science | Machine Learning,Infosys,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior  Data Scientist - Analytics Organization- Data Science,PlaceMinds Consulting Pvt. Ltd,6-11 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
5,Data Science/Data Analyst,Findoc Finvest Private Limited,4-7 Yrs,Not disclosed,Gurgaon/Gurugram
6,Data science +  Python - NP Max 45 days,ERM Placement Services (P) Ltd. ,3-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
7,Technology Lead - Data Science / Machine Learning,Infosys,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
8,Data Science Consultant,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
9,Advisor Digital Analytics and Data Science,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
10,Lead Business Analyst - Data Science | Talent500,TALENT500 TECH (INDIA) PRIVATE LIMITED,6-11 Yrs,Not disclosed,Remote
11,Opening with Data Science,Pricewater House Coopers Service Delivery Center    Bangalore Private Limited,2-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
12,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
13,Data Science Application Developer,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science Engineer,Texas Instruments,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
15,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
16,Senior Analyst - Data Science,Tiger Analytics India LLP    ,1-6 Yrs,Not disclosed,Chennai(WFH during Covid)
17,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Python Trainer & Data Science Trainer,CQS TRAINING PRIVATE LIMITED ,0-4 Yrs,"2,50,000 - 3,00,000 PA.",New Delhi(B1 Block Janakpuri)
19,Looking For Part Time Data Science Trainer (WFH) with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
0,Senior Director -  Data Science,Course5,10-15 Yrs,"25,00,000 - 40,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru"
1,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
2,Urgent Opening-Principal Consultant- Data Science,Wipro,10-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
3,"Advisor, Data Science",Dell,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Lead Consultant - Big Data Analyst,Genpact,4-9 Yrs,"50,000 - 1,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
5,Data Science,Capgemini,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Data Science,Capgemini,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
7,Manager - Machine Learning Engineer ( Data Science ) ( Females only ),Pylon Management Consulting Pvt Ltd ,7-9 Yrs,Not disclosed,Remote
8,Analyst: Data Science Insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai
9,Job Support - Data Science/Data Analyst,LAVSUN Technologies Inc.,5-10 Yrs,"50,000 - 60,000 PA.",Remote
10,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,Bangalore/Bengaluru
11,data science,FUTURES AND CAREERS,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Manager- Artificial Intelligence,Spectral Consultants -Search and Recruitments Firm ,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
13,Data science-subha- Brillio,CHANGE LEADERS CONSULTING,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
14,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
15,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
16,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science - Associate Principal Consultant,Allstate,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science Job @ Applied Materials - Bangalore,Applied Materials,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield)
19,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
0,Senior Research Analyst / Asst Manager Data Science,TrizTeck Intellectual Property Solutions LLP,2-5 Yrs,"4,75,000 - 7,50,000 PA.",New Delhi(Greater Kailash)
1,Data Science Analyst Fresh Graduates,TELEMAN INSTITUTE OF WIRELESS TECHNOLOGIES PVT LTD D.,0-3 Yrs,"5,00,000 - 5,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
2,Data Science Senior,Larsen & Toubro (L&T),4-6 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
3,Data Science Fresher | Geakminds | Chennai,Geakminds Technologies Private Limited,0-2 Yrs,Not disclosed,Chennai
4,Sr. Associate - Content Data Science,upGrad,1-5 Yrs,"7,00,000 - 15,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)"
5,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Senior Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data Analyst - Data Science (hiring in top MNC),Krazy Mantra HR Solutions Pvt. Ltd  ,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
8,Data Science - Intern,SMECLabs Trivandrum,1-3 Yrs,Not disclosed,Ernakulam
9,Specialist in VBA For Quantitative Analysis and Data Science,Gartner,1-3 Yrs,Not disclosed,Gurgaon/Gurugram
10,Associate/Sr. Associate Manager Safety Data Sciences,Eli Lilly and Company,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
11,Data Science - Contract To Hire,Successr HR Tech PVT LTD,4-8 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
12,Data Science Lead,Larsen & Toubro (L&T),7-10 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
13,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
14,Data Science Digital Data Engineering Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
15,Looking For Data science Engineer For Hyderabad Location,MOURI Tech,5-10 Yrs,"10,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru(WFH during Covid)"
16,Data Science Analyst - Technical,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
19,Deputy Manager Data Science,FUTURES AND CAREERS,8-12 Yrs,"15,00,000 - 25,00,000 PA.",Bangalore/Bengaluru
0,Data Science Manager,Dreamz Consultants,11-16 Yrs,Not disclosed,"Noida, Pune, Bangalore/Bengaluru"
1,Consultant- Data Science,CHANGE LEADERS CONSULTING,4-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"
2,"Chief Architect(.Net, Azure, Data Science, Machine Learning, Big Data)",Mapps IT Services Pvt Ltd.,10-20 Yrs,Not disclosed,Remote
3,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
4,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
5,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
6,Python -Data science Trainers,Nexgen Solutions,3-8 Yrs,Not disclosed,Chennai(WFH during Covid)
7,Python / Data Analytics / Data Science Trainer @ TechVidya,TECHVIDYA CAREER PVT. LTD.,1-6 Yrs,"2,50,000 - 6,00,000 PA.",Noida(Sector-2 Noida)
8,Data Science,VEGA Intellisoft Private Limited,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru"
9,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
10,Machine Learning Data Science Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
11,Machine Learning Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
12,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
13,Lead Data Science @ MagicBricks (Times Group),MagicBricks,10-20 Yrs,Not disclosed,Bangalore/Bengaluru
14,ACN - Applied Intelligence - GCP - Data Science - 08,Accenture,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
15,ACN - Applied Intelligence - GCP - Data Science - 09,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
16,Head of Data Science,Mancer Consulting Services,20-25 Yrs,1 Cr and above PA.,"Bangalore/Bengaluru, Delhi / NCR"
17,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
18,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
19,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
0,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
1,India Market Unit - Data Science Consultant - 09,Accenture,3-6 Yrs,Not disclosed,"Bangalore/Bengaluru, Bengaluru/Bangalore"
2,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
3,Natural Language Processing (NLP) Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
4,"Manager, Data Science",CommVault Systems (India) Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
5,ACN - Applied Intelligence - Solutions.AI - Data Science - 07,Accenture,10-20 Yrs,Not disclosed,Bangalore/Bengaluru
6,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
7,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
8,"Manager, Data Science (Delivery)",Zebra Technologies India Pvt Ltd,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
9,Data Science,NNE Private Ltd,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
10,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad
11,Data Science Team - Research And Development Intern,Fractal Analytics,0-2 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru"
12,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
13,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
14,Sr. Analyst Advanced Analytics and Data Science,Kennametal,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
15,Senior Data Science Analyst,Otis,1-3 Yrs,Not disclosed,Bangalore/Bengaluru
16,Senior Data Science Analyst,Otis,3-7 Yrs,Not disclosed,"Hyderabad, Ahmedabad, Bengaluru"
17,"Team Lead Safety Data Sciences, Global Patient Safety",Eli Lilly and Company,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Software Engineer - Data Science,NextTrial AI Software Pvt. Ltd.,0-2 Yrs,"80,000 - 2,00,000 PA.",Bangalore/Bengaluru(WFH during Covid)
19,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
0,Data Science (OCR/Document Conversion) - Analyst / Senior Analyst,BLUCOGNITION PRIVATE LIMITED,1-4 Yrs,Not disclosed,Pune(WFH during Covid)
1,Excellent opportunity For Data Science in Pune For a MNC,Peoplefy Infosolutions Pvt. Ltd.  ,0-4 Yrs,Not disclosed,Pune(Kharadi)
2,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,0-5 Yrs,Not disclosed,Gurgaon/Gurugram
3,Hiring Freshers | Data Science Fresher,E-con systems India Pvt Ltd,0-0 Yrs,"4,25,000 - 6,00,000 PA.",Chennai
4,Software Development Engineer III - Data Sciences,Flipkart,5-8 Yrs,Not disclosed,Bengaluru/Bangalore
5,Software Development Engineer II - Data Sciences,Flipkart,4-6 Yrs,Not disclosed,Bengaluru/Bangalore
6,Data Science - Senior Data Scientist,Paytm,2-4 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru"
7,Data Science Application Lead,Accenture,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad
8,Senior Manager Data Science,Optum,15-25 Yrs,Not disclosed,Hyderabad/Secunderabad
9,Analyst - Data Science,Nuware  Systems Pvt Ltd,3-6 Yrs,Not disclosed,Bengaluru
10,DA&S - Data Science analyst,Accenture,1-4 Yrs,Not disclosed,Bengaluru/Bangalore
11,Lead Business Analyst - Data Science,TEKION,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Analyst,Perfect Day,5-7 Yrs,Not disclosed,Bangalore/Bengaluru
13,Analyst (Data Science),Bloom Consulting Services,3-8 Yrs,Not disclosed,Bengaluru
14,Sr Associate (Data Science),IHS Markit,4-5 Yrs,Not disclosed,Gurgaon/Gurugram
15,Data Science and Advanced Analytics Lead,"Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed,Hyderabad/Secunderabad
16,Brand Technical Specialist - Data Science & Data Governance,IBM,10-15 Yrs,Not disclosed,Mumbai
17,Data Science Engineer - Tableau/Power BI,Yo HR Consultancy,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
18,Technical Lead - Data Science,Talent Acceleration Corridor,6-8 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR"
19,Data Science â€“ Delivery Lead,PlaceMinds Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,"Mumbai, Pune"
0,Acon - Data Science ( Immediate joinees ),Pylon Management Consulting Pvt Ltd ,1-4 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)"
1,Con - Data Science ( ML Algorithms ),Pylon Management Consulting Pvt Ltd ,4-7 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)"
2,data science,FUTURES AND CAREERS,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
3,Data Science,CHANGE LEADERS CONSULTING,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"
4,Data Science,Onward Technologies Limited,6-9 Yrs,"12,00,000 - 18,00,000 PA.",Bangalore/Bengaluru
5,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
6,ACN - Applied Intelligence - CC - Data Science - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
7,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
8,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
9,"Principal, Quantitative Analytics and Data Science",Gartner,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
10,Data Science : Analyst - Manager,Aye Finance (P) Ltd,0-3 Yrs,Not disclosed,Gurgaon/Gurugram
11,Senior Data Science & Analytics Platform Engineer,GSK India,2-7 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Lead - Finance,Mad Street Den,2-6 Yrs,Not disclosed,Chennai
13,Manager Data Science,NEC CORPORATION INDIA PRIVATE LIMITED,8-13 Yrs,"9,00,000 - 19,00,000 PA.",Noida
14,Junior Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Chandigarh
15,Data Science Application Developer,Accenture,8-10 Yrs,Not disclosed,Chennai
16,Data Science Head / Director,MAAHI COGNITIVE WELLBEING LLP ,14-20 Yrs,"45,00,000 - 50,00,000 PA.",Hyderabad/Secunderabad(WFH during Covid)
17,Director Data Science,Optum,15-18 Yrs,Not disclosed,Noida
18,AI-ML Lead,Technossus Software Services  Pvt. Ltd,9-14 Yrs,"15,00,000 - 27,50,000 PA.","Mohali/SAS Nagar, Chandigarh, Pune(WFH during Covid)"
19,Merilytics - Manager - Data Science - IIT/BITS/NIT,Meritus Intelytics Private Limited,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur +1)
0,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
1,Data Science Sr Advisor,Dell,12-18 Yrs,Not disclosed,Bangalore/Bengaluru
2,Senior Software Architect - Data Science,Philips India Limited,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
3,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
5,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
7,Opportunity Discussion -Senior Analyst Data Sciences,MAUVETIX SOLUTIONS PRIVATE LIMITED ,3-6 Yrs,"7,00,000 - 9,50,000 PA.",Hyderabad/Secunderabad
8,Data Scientist II - Core Analytics & Science,Uber,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
9,Data Science Manager,Accenture,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
10,Hiring For Part Time Professors- Data Science and Business Analytics,AGAMLINC Edu Systems Pvt. Ltd.,5-10 Yrs,"4,00,000 - 6,00,000 PA.",Remote
11,Kantar - SQL+ Data Science +Power BI Consultant/Senior Consultant,TNS - Subsidary of Kantar Group,1-6 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
12,"Senior Data Scientist, Data Sciences",Vmware,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
13,Software Developer - NLP /machine Learning/ Data Science,Cunesoft,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
14,"Senior Specialist, Quantitative Analytics and Data Sciences",Gartner,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
15,Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
16,Software Developer - NLP/Data Science/Machine Learning,Cunesoft India Private Limited (a Phlexglobal Company),3-8 Yrs,Not disclosed,Bangalore/Bengaluru
17,"Senior Manager - Data Science,Pan India",Smart Cube,10-12 Yrs,Not disclosed,remote
18,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Mumbai
19,Data Science Application Lead,Accenture,4-6 Yrs,Not disclosed,Chennai
0,Senior Manager -  Data Science,Oportun ,12-18 Yrs,Not disclosed,Chennai
1,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Mumbai
2,"Senior Associate, Senior Data Manager, Clinical Data Sciences",Pfizer,5-8 Yrs,Not disclosed,Chennai
3,Principal Consultant / Consulting Partner - Data Science - AI,Wipro,10-18 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
4,Data Science Engineer (MS Azure),Quality Engineering  Software Technologies Pvt. Ltd.,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
5,Data Science Engineer,"Rakuten, Inc.",2-5 Yrs,Not disclosed,Bangalore/Bengaluru
6,Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Gurgaon/Gurugram
7,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
8,Lead - IT Data Science Analyst,Momentive Performance Materials Inc.,4-8 Yrs,Not disclosed,Bangalore/Bengaluru
9,Business Analyst II- Data Sciences and Advanced Analytics,Vmware,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
10,"Lead , Data Science",Near Pte. Ltd.,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
11,Lead - Data Science - MNC Opportunity - Bangalore,McOxley,6-7 Yrs,"25,00,000 - 30,00,000 PA.",Bangalore/Bengaluru
12,SCM - DATA SCIENCE,BRIDGEi2i Analytics Solutions Private Limited,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
13,Team Lead - Data Science,ShieldSquare _x001A_,6-11 Yrs,Not disclosed,Bangalore/Bengaluru
14,PROJECT MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
15,MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
16,Data Science Integration Engineer,MVG HR Solutions Pvt Ltd ,4-9 Yrs,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR(WFH during Covid)"
17,Data Science Engineer,Bajaj Finserv,0-3 Yrs,Not disclosed,Pune
18,Data Science Engineer,Encora,2-5 Yrs,Not disclosed,Chennai
0,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
1,Data Science Quality Engineer (Tester),Accenture,6-8 Yrs,Not disclosed,Gurgaon/Gurugram
2,Lead - Data Science - BFSI | Fintech Pioneer | GGN,Unnati,5-8 Yrs,"25,00,000 - 30,00,000 PA.","Noida, New Delhi, Gurgaon/Gurugram"
3,Head of Data Science,Connexions,7-10 Yrs,Not disclosed,Gurgaon/Gurugram
4,Hiring For Data Science Lead with a Media and Entertainment company,SKILLVENTORY,3-8 Yrs,Not disclosed,Mumbai
5,Senior Developer - Data Science/ BI,Radial HR Solutions  ,7-12 Yrs,"10,00,000 - 20,00,000 PA.","Noida, Bangalore/Bengaluru"
6,Data Science SME - (UK Shift/ Remote/ WFH),Enhance IT,10-20 Yrs,Not disclosed,Remote
7,Data Science Specialist - Freelancer,ALLIANTGROUP INDIA TALENT PRIVATE LIMITED ,1-6 Yrs,"5,00,000 - 11,00,000 PA.",Hyderabad/Secunderabad(Madhapur)(WFH during Covid)
8,Data Science - Lead Data Scientist,Paytm,3-5 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
9,Sr. Data Science Developer,Microsoft,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
10,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,2-5 Yrs,Not disclosed,Chennai
11,Machine Learning Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Pune
12,"Manager, Data Science 3",PayPal,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
13,Openings For Data Science Professionals,E&Y,8-13 Yrs,Not disclosed,Pune
14,Team Lead - Data science,Inlogic Technologies Private Limited.,5-10 Yrs,Not disclosed,Chennai
